取得日時,テーブル番号,日付,時刻,堤防天端からの高さ[m]
2026-09-03 15:03:33,0,08/30,19:00,-5.95
2026-09-03 15:03:33,0,08/30,13:00,-5.58
2026-09-03 15:03:33,0,08/30,07:00,-5.58
2026-09-03 15:03:33,0,08/30,01:00,-5.21
2026-09-03 15:03:33,0,08/29,19:00,-5.25
2026-09-03 15:03:33,0,08/29,13:40,-4.45
2026-09-03 15:03:33,0,08/29,13:00,-4.81
2026-09-03 15:03:33,0,08/29,07:00,-6.42
2026-09-03 15:03:33,0,08/29,01:00,-6.43
2026-09-03 15:03:33,0,08/28,19:00,-6.45
2026-09-03 15:03:33,0,08/28,13:00,-6.30
2026-09-03 15:03:33,0,08/28,07:00,-6.23
2026-09-03 15:03:33,0,08/28,01:00,-6.02
2026-09-03 15:03:33,0,08/27,19:00,-5.87
2026-09-03 15:03:33,0,08/27,13:00,-5.66
2026-09-03 15:03:33,0,08/27,07:00,-6.54
2026-09-03 15:03:33,0,08/27,01:00,-6.54
2026-09-03 15:03:33,0,08/26,19:00,-6.54
2026-09-03 15:03:33,0,08/26,13:00,-6.53
2026-09-03 15:03:33,0,08/26,07:00,-6.54
2026-09-03 15:03:33,0,08/26,01:00,-6.55
2026-09-03 00:02:34,0,08/25,19:00,-6.54
2026-09-03 00:02:34,0,08/25,13:00,-6.53
2026-09-03 00:02:34,0,08/25,07:00,-6.54
2026-09-03 00:02:34,0,08/25,01:00,-6.55
2026/9/2 13:34,0,8月30日,19:00,-5.95
2026/9/2 13:34,0,8月30日,13:00,-5.58
2026/9/2 13:34,0,8月30日,7:00,-5.58
2026/9/2 13:34,0,8月30日,1:00,-5.21
2026/9/2 13:34,0,8月29日,19:00,-5.25
2026/9/2 13:34,0,8月29日,13:40,-4.45
2026/9/2 13:34,0,8月29日,13:00,-4.81
2026/9/2 13:34,0,8月29日,7:00,-6.42
2026/9/2 13:34,0,8月29日,1:00,-6.43
2026/9/2 13:34,0,8月28日,19:00,-6.45
2026/9/2 13:34,0,8月28日,13:00,-6.3
2026/9/2 13:34,0,8月28日,7:00,-6.23
2026/9/2 13:34,0,8月28日,1:00,-6.02
2026/9/2 13:34,0,8月27日,19:00,-5.87
2026/9/2 13:34,0,8月27日,13:00,-5.66
2026/9/2 13:34,0,8月27日,7:00,-6.54
2026/9/2 13:34,0,8月27日,1:00,-6.54
2026/9/2 13:34,0,8月26日,19:00,-6.54
2026/9/2 13:34,0,8月26日,13:00,-6.53
2026/9/2 13:34,0,8月26日,7:00,-6.54
2026/9/2 13:34,0,8月26日,1:00,-6.55
2026/9/2 13:34,0,8月25日,19:00,-6.54
2026/9/2 13:34,0,8月25日,13:00,-6.53
2026/9/2 13:34,0,8月25日,7:00,-6.54
2026/9/2 13:34,0,8月25日,1:00,-6.55
2026/9/1 23:14,0,8月24日,19:00,-6.54
2026/9/1 23:14,0,8月24日,13:00,-6.53
2026/9/1 23:14,0,8月24日,7:00,-6.54
2026/9/1 23:14,0,8月24日,1:00,-6.54
